Cumulative People,Type,Date,Country/Region,Subregion Code,Province/State,Lat,Long,Hospitalized (Symptoms),Intensive Care,Total Hospitalized,Home Isolation,Active Confirmed Cases,Newly Confirmed,Swabs
0,Deaths,2/24/2020 6:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,5
0,Deaths,2/24/2020 6:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0
0,Deaths,2/24/2020 6:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,0,0,0,0,0,0,1
0,Deaths,2/24/2020 6:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,1
0,Deaths,2/24/2020 6:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,10
0,Deaths,2/24/2020 6:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,10,2,12,6,18,18,148
0,Deaths,2/24/2020 6:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,58
0,Deaths,2/24/2020 6:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,2,124
0,Deaths,2/24/2020 6:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,0,0,0,0,0,0,1
6,Deaths,2/24/2020 6:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,76,19,95,71,166,166,1463
0,Deaths,2/24/2020 6:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,16
0,Deaths,2/24/2020 6:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0
0,Deaths,2/24/2020 6:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,3,141
0,Deaths,2/24/2020 6:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0
0,Deaths,2/24/2020 6:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,1
0,Deaths,2/24/2020 6:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,0,0,0,0,0,0,5
0,Deaths,2/24/2020 6:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,0,0,0,0,0,0,140
0,Deaths,2/24/2020 6:00:00 PM,Italy,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,3
0,Deaths,2/24/2020 6:00:00 PM,Italy,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0
0,Deaths,2/24/2020 6:00:00 PM,Italy,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,7
1,Deaths,2/24/2020 6:00:00 PM,Italy,5,Veneto,45.43490485,12.33845213,12,4,16,16,32,32,2200
0,Deaths,2/25/2020 6:00:00 PM,Italy,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,5
0,Deaths,2/25/2020 6:00:00 PM,Italy,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0
0,Deaths,2/25/2020 6:00:00 PM,Italy,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,1,1
0,Deaths,2/25/2020 6:00:00 PM,Italy,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,2
0,Deaths,2/25/2020 6:00:00 PM,Italy,15,Campania,40.83956555,14.25084984,0,0,0,0,0,0,10
0,Deaths,2/25/2020 6:00:00 PM,Italy,8,Emilia Romagna,44.49436681,11.3417208,15,2,17,9,26,8,391
0,Deaths,2/25/2020 6:00:00 PM,Italy,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,89
0,Deaths,2/25/2020 6:00:00 PM,Italy,12,Lazio,41.89277044,12.48366722,1,1,2,0,2,0,124
0,Deaths,2/25/2020 6:00:00 PM,Italy,7,Liguria,44.41149315,8.9326992,1,0,1,0,1,1,39
9,Deaths,2/25/2020 6:00:00 PM,Italy,3,Lombardia,45.46679409,9.190347404,79,25,104,127,231,65,3700
0,Deaths,2/25/2020 6:00:00 PM,Italy,11,Marche,43.61675973,13.5188753,0,0,0,0,0,0,21
0,Deaths,2/25/2020 6:00:00 PM,Italy,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0
0,Deaths,2/25/2020 6:00:00 PM,Italy,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,141
0,Deaths,2/25/2020 6:00:00 PM,Italy,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0
0,Deaths,2/25/2020 6:00:00 PM,Italy,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,1
0,Deaths,2/25/2020 6:00:00 PM,Italy,19,Sicilia,38.11569725,13.3623567,1,0,2,2,3,3,5
0,Deaths,2/25/2020 6:00:00 PM,Italy,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,2,296
